datetime,temperature,humidity,pressure,wind_speed,wind_direction,rides,date,hour,month,day,year,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos
2015-10-23 22:00:00,14.580000000000041,35.0,1024.0,5.0,50.0,27,2015-10-23,22,10,23,2015,-0.2697967711570252,0.962917287347799,0.38566340624360707,0.9226395488404876,-0.8660254037844386,0.5000000000000001
2015-10-23 23:00:00,12.170000000000016,68.0,1025.0,2.0,70.0,33,2015-10-23,23,10,23,2015,-2.4492935982947064e-16,1.0,0.38566340624360707,0.9226395488404876,-0.8660254037844386,0.5000000000000001
2015-10-24 00:00:00,10.980000000000018,87.0,1014.0,4.0,130.0,40,2015-10-24,0,10,24,2015,0.0,1.0,0.401487989205973,0.9158642882672872,-0.8660254037844386,0.5000000000000001
2015-10-24 01:00:00,9.5,65.0,1027.0,3.0,17.0,38,2015-10-24,1,10,24,2015,0.2697967711570243,0.9629172873477994,0.401487989205973,0.9158642882672872,-0.8660254037844386,0.5000000000000001
2015-10-24 02:00:00,8.490000000000009,43.0,1026.0,3.0,30.0,35,2015-10-24,2,10,24,2015,0.5195839500354336,0.8544194045464886,0.401487989205973,0.9158642882672872,-0.8660254037844386,0.5000000000000001
2015-10-24 03:00:00,7.170000000000016,80.0,1028.0,3.0,35.0,41,2015-10-24,3,10,24,2015,0.730835964278124,0.6825531432186541,0.401487989205973,0.9158642882672872,-0.8660254037844386,0.5000000000000001
2015-10-24 04:00:00,6.170000000000016,80.0,1028.0,3.0,35.0,41,2015-10-24,4,10,24,2015,0.8878852184023752,0.4600650377311522,0.401487989205973,0.9158642882672872,-0.8660254037844386,0.5000000000000001
2015-10-24 05:00:00,5.420000000000016,80.0,1028.0,3.0,48.0,42,2015-10-24,5,10,24,2015,0.9790840876823229,0.20345601305263375,0.401487989205973,0.9158642882672872,-0.8660254037844386,0.5000000000000001
2015-10-24 06:00:00,4.920000000000016,92.0,1028.0,2.0,30.0,44,2015-10-24,6,10,24,2015,0.9976687691905392,-0.06824241336467088,0.401487989205973,0.9158642882672872,-0.8660254037844386,0.5000000000000001
2015-10-24 07:00:00,3.990000000000009,80.0,1028.0,3.0,48.0,43,2015-10-24,7,10,24,2015,0.9422609221188205,-0.33487961217098616,0.401487989205973,0.9158642882672872,-0.8660254037844386,0.5000000000000001
2015-10-24 08:00:00,3.330000000000041,100.0,1028.0,3.0,44.0,45,2015-10-24,8,10,24,2015,0.8169698930104421,-0.5766803221148671,0.401487989205973,0.9158642882672872,-0.8660254037844386,0.5000000000000001
2015-10-24 09:00:00,2.910000000000025,86.0,1028.0,3.0,44.0,43,2015-10-24,9,10,24,2015,0.631087944326053,-0.7757112907044197,0.401487989205973,0.9158642882672872,-0.8660254037844386,0.5000000000000001
2015-10-24 10:00:00,2.490000000000009,86.0,1028.0,3.0,44.0,43,2015-10-24,10,10,24,2015,0.3984010898462414,-0.917211301505453,0.401487989205973,0.9158642882672872,-0.8660254037844386,0.5000000000000001
2015-10-24 11:00:00,2.480000000000018,100.0,1029.0,3.0,66.0,45,2015-10-24,11,10,24,2015,0.1361666490962471,-0.9906859460363306,0.401487989205973,0.9158642882672872,-0.8660254037844386,0.5000000000000001
2015-10-24 12:00:00,2.3100000000000023,70.0,1028.0,1.0,330.0,41,2015-10-24,12,10,24,2015,-0.1361666490962464,-0.9906859460363308,0.401487989205973,0.9158642882672872,-0.8660254037844386,0.5000000000000001
2015-10-24 13:00:00,3.4700000000000273,93.0,1030.0,3.0,66.0,44,2015-10-24,13,10,24,2015,-0.39840108984624156,-0.9172113015054529,0.401487989205973,0.9158642882672872,-0.8660254037844386,0.5000000000000001
2015-10-24 14:00:00,5.400000000000034,66.0,1029.0,2.0,360.0,39,2015-10-24,14,10,24,2015,-0.6310879443260528,-0.7757112907044198,0.401487989205973,0.9158642882672872,-0.8660254037844386,0.5000000000000001
2015-10-24 15:00:00,7.57000000000005,62.0,1029.0,2.0,30.0,37,2015-10-24,15,10,24,2015,-0.816969893010442,-0.5766803221148672,0.401487989205973,0.9158642882672872,-0.8660254037844386,0.5000000000000001
2015-10-24 16:00:00,9.650000000000034,62.0,1029.0,1.0,40.0,36,2015-10-24,16,10,24,2015,-0.9422609221188204,-0.3348796121709864,0.401487989205973,0.9158642882672872,-0.8660254037844386,0.5000000000000001
2015-10-24 17:00:00,11.160000000000025,54.0,1028.0,2.0,60.0,33,2015-10-24,17,10,24,2015,-0.9976687691905393,-0.06824241336467046,0.401487989205973,0.9158642882672872,-0.8660254037844386,0.5000000000000001
2015-10-24 18:00:00,11.82000000000005,62.0,1027.0,3.0,210.0,34,2015-10-24,18,10,24,2015,-0.979084087682323,0.2034560130526333,0.401487989205973,0.9158642882672872,-0.8660254037844386,0.5000000000000001
2015-10-24 19:00:00,12.660000000000025,62.0,1027.0,3.0,150.0,33,2015-10-24,19,10,24,2015,-0.8878852184023756,0.4600650377311516,0.401487989205973,0.9158642882672872,-0.8660254037844386,0.5000000000000001
2015-10-24 20:00:00,12.740000000000009,58.0,1026.0,3.0,150.0,32,2015-10-24,20,10,24,2015,-0.730835964278124,0.6825531432186541,0.401487989205973,0.9158642882672872,-0.8660254037844386,0.5000000000000001
2015-10-24 21:00:00,13.080000000000041,76.0,1012.0,6.0,260.0,33,2015-10-24,21,10,24,2015,-0.5195839500354336,0.8544194045464886,0.401487989205973,0.9158642882672872,-0.8660254037844386,0.5000000000000001
2015-10-24 22:00:00,12.660000000000025,71.0,1013.0,7.0,290.0,32,2015-10-24,22,10,24,2015,-0.2697967711570252,0.962917287347799,0.401487989205973,0.9158642882672872,-0.8660254037844386,0.5000000000000001
2015-10-24 23:00:00,12.0,58.0,1025.0,2.0,130.0,33,2015-10-24,23,10,24,2015,-2.4492935982947064e-16,1.0,0.401487989205973,0.9158642882672872,-0.8660254037844386,0.5000000000000001
2015-10-25 00:00:00,11.920000000000016,76.0,1017.0,5.0,300.0,38,2015-10-25,0,10,25,2015,0.0,1.0,0.4171936026123168,0.9088176373395029,-0.8660254037844386,0.5000000000000001
2015-10-25 01:00:00,12.0,62.0,1025.0,2.0,150.0,37,2015-10-25,1,10,25,2015,0.2697967711570243,0.9629172873477994,0.4171936026123168,0.9088176373395029,-0.8660254037844386,0.5000000000000001
2015-10-25 02:00:00,11.840000000000032,66.0,1019.0,4.0,320.0,37,2015-10-25,2,10,25,2015,0.5195839500354336,0.8544194045464886,0.4171936026123168,0.9088176373395029,-0.8660254037844386,0.5000000000000001
2015-10-25 03:00:00,12.07000000000005,71.0,1024.0,3.0,164.0,37,2015-10-25,3,10,25,2015,0.730835964278124,0.6825531432186541,0.4171936026123168,0.9088176373395029,-0.8660254037844386,0.5000000000000001
2015-10-25 04:00:00,12.160000000000025,62.0,1021.0,4.0,320.0,35,2015-10-25,4,10,25,2015,0.8878852184023752,0.4600650377311522,0.4171936026123168,0.9088176373395029,-0.8660254037844386,0.5000000000000001
2015-10-25 05:00:00,12.160000000000025,66.0,1021.0,3.0,310.0,36,2015-10-25,5,10,25,2015,0.9790840876823229,0.20345601305263375,0.4171936026123168,0.9088176373395029,-0.8660254037844386,0.5000000000000001
2015-10-25 06:00:00,12.460000000000036,76.0,1021.0,3.0,181.0,37,2015-10-25,6,10,25,2015,0.9976687691905392,-0.06824241336467088,0.4171936026123168,0.9088176373395029,-0.8660254037844386,0.5000000000000001
2015-10-25 07:00:00,13.0,71.0,1020.0,3.0,190.0,36,2015-10-25,7,10,25,2015,0.9422609221188205,-0.33487961217098616,0.4171936026123168,0.9088176373395029,-0.8660254037844386,0.5000000000000001
2015-10-25 08:00:00,13.0,76.0,1020.0,3.0,199.0,36,2015-10-25,8,10,25,2015,0.8169698930104421,-0.5766803221148671,0.4171936026123168,0.9088176373395029,-0.8660254037844386,0.5000000000000001
2015-10-25 09:00:00,13.010000000000048,81.0,1019.0,3.0,199.0,37,2015-10-25,9,10,25,2015,0.631087944326053,-0.7757112907044197,0.4171936026123168,0.9088176373395029,-0.8660254037844386,0.5000000000000001
2015-10-25 10:00:00,13.080000000000041,87.0,1018.0,3.0,199.0,37,2015-10-25,10,10,25,2015,0.3984010898462414,-0.917211301505453,0.4171936026123168,0.9088176373395029,-0.8660254037844386,0.5000000000000001
2015-10-25 11:00:00,13.170000000000016,93.0,1019.0,4.0,217.0,38,2015-10-25,11,10,25,2015,0.1361666490962471,-0.9906859460363306,0.4171936026123168,0.9088176373395029,-0.8660254037844386,0.5000000000000001
2015-10-25 12:00:00,13.0,93.0,1017.0,1.0,210.0,39,2015-10-25,12,10,25,2015,-0.1361666490962464,-0.9906859460363308,0.4171936026123168,0.9088176373395029,-0.8660254037844386,0.5000000000000001
2015-10-25 13:00:00,13.170000000000016,87.0,1018.0,3.0,210.0,37,2015-10-25,13,10,25,2015,-0.39840108984624156,-0.9172113015054529,0.4171936026123168,0.9088176373395029,-0.8660254037844386,0.5000000000000001
2015-10-25 14:00:00,13.150000000000034,82.0,1018.0,3.0,200.0,36,2015-10-25,14,10,25,2015,-0.6310879443260528,-0.7757112907044198,0.4171936026123168,0.9088176373395029,-0.8660254037844386,0.5000000000000001
2015-10-25 15:00:00,13.400000000000034,87.0,1018.0,3.0,230.0,37,2015-10-25,15,10,25,2015,-0.816969893010442,-0.5766803221148672,0.4171936026123168,0.9088176373395029,-0.8660254037844386,0.5000000000000001
2015-10-25 16:00:00,14.450000000000045,82.0,1018.0,5.0,240.0,34,2015-10-25,16,10,25,2015,-0.9422609221188204,-0.3348796121709864,0.4171936026123168,0.9088176373395029,-0.8660254037844386,0.5000000000000001
2015-10-25 17:00:00,16.460000000000036,77.0,1018.0,3.0,270.0,33,2015-10-25,17,10,25,2015,-0.9976687691905393,-0.06824241336467046,0.4171936026123168,0.9088176373395029,-0.8660254037844386,0.5000000000000001
2015-10-25 18:00:00,16.480000000000018,63.0,1017.0,1.0,0.0,31,2015-10-25,18,10,25,2015,-0.979084087682323,0.2034560130526333,0.4171936026123168,0.9088176373395029,-0.8660254037844386,0.5000000000000001
2015-10-25 19:00:00,18.53000000000003,56.0,1017.0,6.0,310.0,29,2015-10-25,19,10,25,2015,-0.8878852184023756,0.4600650377311516,0.4171936026123168,0.9088176373395029,-0.8660254037844386,0.5000000000000001
2015-10-25 20:00:00,18.74000000000001,45.0,1018.0,4.0,310.0,27,2015-10-25,20,10,25,2015,-0.730835964278124,0.6825531432186541,0.4171936026123168,0.9088176373395029,-0.8660254037844386,0.5000000000000001
2015-10-25 21:00:00,18.470000000000027,43.0,1018.0,7.0,320.0,26,2015-10-25,21,10,25,2015,-0.5195839500354336,0.8544194045464886,0.4171936026123168,0.9088176373395029,-0.8660254037844386,0.5000000000000001
2015-10-25 22:00:00,18.220000000000027,52.0,1018.0,4.0,330.0,28,2015-10-25,22,10,25,2015,-0.2697967711570252,0.962917287347799,0.4171936026123168,0.9088176373395029,-0.8660254037844386,0.5000000000000001
